Set Number,Number of Features,Features,KMeans Silhouette Score,KMeans Davies-Bouldin Index,KMeans Calinski-Harabasz Score,KMeans Prediction Accuracy,DBSCAN Silhouette Score,DBSCAN Davies-Bouldin Index,DBSCAN Prediction Accuracy,Best eps,Best min_samples
527,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'Division_Freq', 'LOCATION_Freq']",0.23878233913971394,1.503473346311956,1304.0651792350475,23.878233913971396,0.2672829959351346,1.5023331603553487,26.728299593513462,1.3,8
528,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'Division_Freq', 'PREMISES_Freq']",0.22226439420916475,1.5143894438123158,1256.638785440148,22.226439420916474,0.25841378531585646,1.5261405932274152,25.841378531585647,1.3,13
529,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'Division_Freq', 'Loca_Premi_Freq']",0.20722924011814586,1.601377176968215,1187.3330801729364,20.722924011814587,0.2591753608694252,1.5309401726319256,25.917536086942523,1.2,13
530,4,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'HOOD_Freq']",0.2876011296675234,1.1222938159252798,2236.9409450402554,28.760112966752338,0.48776742823328334,0.7708006006455675,48.776742823328334,0.7,3
531,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'HOOD_Freq', 'LOCATION_Freq']",0.24302368833889504,1.3858850451531977,1512.0627363090757,24.302368833889503,0.43329387535402364,0.9199382030653569,43.32938753540236,1.6,3
532,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'HOOD_Freq', 'PREMISES_Freq']",0.22277553187756455,1.406809079167719,1446.99797858739,22.277553187756453,0.4325322973081925,0.928422574405088,43.25322973081925,1.9,3
533,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'HOOD_Freq', 'Loca_Premi_Freq']",0.22706470248439384,1.408308783165977,1424.2723704690661,22.706470248439384,0.4348433740449723,0.9357600666444703,43.48433740449723,2.0,3
534,4,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier']",0.2897114887115788,1.1175804500431057,2278.593019566934,28.97114887115788,0.49341089765212776,0.7623203931977363,49.34108976521278,0.6,3
535,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'LOCATION_Freq']",0.2357026260834127,1.4213485083945274,1481.3819473838757,23.57026260834127,0.43854350833873823,0.9102665262572678,43.85435083387382,1.6,3
536,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'PREMISES_Freq']",0.21229130166182153,1.5221134612311487,1114.6730692193128,21.229130166182152,0.43776318212477305,0.918682873485493,43.77631821247731,1.9,3
537,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']",0.2285327361757234,1.4009127023497474,1445.9022492089805,22.853273617572338,0.4400126067952836,0.9259459716558779,44.00126067952836,2.0,3
539,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']",0.2279387600821776,1.4531198308235729,1373.9297103359859,22.793876008217758,0.27108777642706,1.5003829750179574,27.108777642706,1.3,3
540,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']",0.22425010004501647,1.4579295047707665,1340.5285737816705,22.425010004501647,0.26390697918657274,1.5240563542738008,26.390697918657274,1.2,13
541,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']",0.1858115522928132,1.5541828907085153,1187.750092893109,18.581155229281322,0.263828888244181,1.5288651766977006,26.3828888244181,1.2,13
542,5,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']",0.2540857800878423,1.4911010589753486,1648.6935549308675,25.40857800878423,0.25530758929783814,1.6173921273157117,25.530758929783815,1.2,3
543,6,"['OCC_DOY', 'OCC_HOUR', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']",0.1994217742786953,1.827001858305635,1174.773916967642,19.94217742786953,0.23453161783254356,1.6822332596735754,23.453161783254355,1.3,3
