set_number,features
106,"['OCC_DAY', 'LONG_LAT_PCA', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
107,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'LOCATION_Freq']"
108,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'PREMISES_Freq']"
109,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'Loca_Premi_Freq']"
110,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq']"
111,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'LOCATION_Freq']"
112,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'PREMISES_Freq']"
113,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'Division_Freq', 'Loca_Premi_Freq']"
114,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq']"
115,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'LOCATION_Freq']"
116,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'PREMISES_Freq']"
117,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'HOOD_Freq', 'Loca_Premi_Freq']"
118,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier']"
119,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
120,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
121,"['OCC_DAY', 'LONG_WGS84', 'LAT_WGS84', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
122,"['OCC_DAY', 'OCC_DOW_Num', 'Division_Freq', 'LOCATION_Freq']"
123,"['OCC_DAY', 'OCC_DOW_Num', 'Division_Freq', 'PREMISES_Freq']"
124,"['OCC_DAY', 'OCC_DOW_Num', 'Division_Freq', 'Loca_Premi_Freq']"
125,"['OCC_DAY', 'OCC_DOW_Num', 'HOOD_Freq', 'LOCATION_Freq']"
126,"['OCC_DAY', 'OCC_DOW_Num', 'HOOD_Freq', 'PREMISES_Freq']"
127,"['OCC_DAY', 'OCC_DOW_Num', 'HOOD_Freq', 'Loca_Premi_Freq']"
128,"['OCC_DAY', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'LOCATION_Freq']"
129,"['OCC_DAY', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'PREMISES_Freq']"
130,"['OCC_DAY', 'OCC_DOW_Num', 'DIV_HOOD_Hier', 'Loca_Premi_Freq']"
131,"['OCC_DAY', 'OCC_DOW_Num', 'LONG_LAT_PCA', 'LOCATION_Freq']"
